1210000000540902,Amber Enterprises India Limite,0,1,0.05,INE371P01015,0915-1530|1815-1915:,2026-03-13,,BSE:AMBER-A,12,10,540902,AMBER,540902,-1.0,XX,1210000000540902,,0,0.0
1210000000500425,AMBUJA CEMENTS LTD.,0,1,0.05,INE079A01024,0915-1530|1815-1915:,2026-03-13,,BSE:AMBUJACEM-A,12,10,500425,AMBUJACEM,500425,-1.0,XX,1210000000500425,,0,0.0
1210000000543415,Anand Rathi Wealth Limited,0,1,0.05,INE463V01026,0915-1530|1815-1915:,2026-03-13,,BSE:ANANDRATHI-A,12,10,543415,ANANDRATHI,543415,-1.0,XX,1210000000543415,,0,0.0
1210000000515055,ANANT RAJ LIMITED,0,1,0.05,INE242C01024,0915-1530|1815-1915:,2026-03-13,,BSE:ANANTRAJ-A,12,10,515055,ANANTRAJ,515055,-1.0,XX,1210000000515055,,0,0.0
1210000000543235,ANGEL ONE LIMITED,0,1,0.05,INE732I01021,0915-1530|1815-1915:,2026-03-13,,BSE:ANGELONE-A,12,10,543235,ANGELONE,543235,-1.0,XX,1210000000543235,,0,0.0
1210000000542460,The Anup Engineering Ltd,0,1,0.05,INE294Z01018,0915-1530|1815-1915:,2026-03-13,,BSE:ANUP-A,12,10,542460,ANUP,542460,-1.0,XX,1210000000542460,,0,0.0
1210000000543275,Anupam Rasayan India Limited,0,1,0.05,INE930P01018,0915-1530|1815-1915:,2026-03-13,,BSE:ANURAS-A,12,10,543275,ANURAS,543275,-1.0,XX,1210000000543275,,0,0.0
1210000000532259,APAR INDUSTRIES LTD.,0,1,0.05,INE372A01015,0915-1530|1815-1915:,2026-03-13,,BSE:APARINDS-A,12,10,532259,APARINDS,532259,-1.0,XX,1210000000532259,,0,0.0
1210000000533758,APL APOLLO TUBES LTD.,0,1,0.05,INE702C01027,0915-1530|1815-1915:,2026-03-13,,BSE:APLAPOLLO-A,12,10,533758,APLAPOLLO,533758,-1.0,XX,1210000000533758,,0,0.0
1210000000533573,ALEMBIC PHARMACEUTICALS LTD.,0,1,0.05,INE901L01018,0915-1530|1815-1915:,2026-03-13,,BSE:APLLTD-A,12,10,533573,APLLTD,533573,-1.0,XX,1210000000533573,,0,0.0
1210000000540879,Apollo Micro Systems Limited,0,1,0.05,INE713T01028,0915-1530|1815-1915:,2026-03-13,,BSE:APOLLO-A,12,10,540879,APOLLO,540879,-1.0,XX,1210000000540879,,0,0.0
1210000000508869,APOLLO HOSPITALS ENTERPRISE LT,0,1,0.05,INE437A01024,0915-1530|1815-1915:,2026-03-13,,BSE:APOLLOHOSP-A,12,10,508869,APOLLOHOSP,508869,-1.0,XX,1210000000508869,,0,0.0
1210000000500877,APOLLO TYRES LTD.,0,1,0.05,INE438A01022,0915-1530|1815-1915:,2026-03-13,,BSE:APOLLOTYRE-A,12,10,500877,APOLLOTYRE,500877,-1.0,XX,1210000000500877,,0,0.0
1210000000543335,Aptus Value Housing Finance In,0,1,0.05,INE852O01025,0915-1530|1815-1915:,2026-03-13,,BSE:APTUS-A,12,10,543335,APTUS,543335,-1.0,XX,1210000000543335,,0,0.0
1210000000500008,Amara Raja Energy & Mobility L,0,1,0.05,INE885A01032,0915-1530|1815-1915:,2026-03-13,,BSE:ARE&M-A,12,10,500008,ARE&M,500008,-1.0,XX,1210000000500008,,0,0.0
1210000000500101,ARVIND LTD.,0,1,0.05,INE034A01011,0915-1530|1815-1915:,2026-03-13,,BSE:ARVIND-A,12,10,500101,ARVIND,500101,-1.0,XX,1210000000500101,,0,0.0
1210000000542484,Arvind Fashions Limited,0,1,0.05,INE955V01021,0915-1530|1815-1915:,2026-03-13,,BSE:ARVINDFASN-A,12,10,542484,ARVINDFASN,542484,-1.0,XX,1210000000542484,,0,0.0
1210000000515030,ASAHI INDIA GLASS LTD.,0,1,0.05,INE439A01020,0915-1530|1815-1915:,2026-03-13,,BSE:ASAHIINDIA-A,12,10,515030,ASAHIINDIA,515030,-1.0,XX,1210000000515030,,0,0.0
1210000000527001,ASHAPURA MINECHEM LTD.,0,1,0.05,INE348A01023,0915-1530|1815-1915:,2026-03-13,,BSE:ASHAPURMIN-A,12,10,527001,ASHAPURMIN,527001,-1.0,XX,1210000000527001,,0,0.0
1210000000533271,ASHOKA BUILDCON LTD.,0,1,0.05,INE442H01029,0915-1530|1815-1915:,2026-03-13,,BSE:ASHOKA-A,12,10,533271,ASHOKA,533271,-1.0,XX,1210000000533271,,0,0.0
1210000000500477,ASHOK LEYLAND LTD.,0,1,0.05,INE208A01029,0915-1530|1815-1915:,2026-03-13,,BSE:ASHOKLEY-A,12,10,500477,ASHOKLEY,500477,-1.0,XX,1210000000500477,,0,0.0
1210000000500820,ASIAN PAINTS LTD.,0,1,0.05,INE021A01026,0915-1530|1815-1915:,2026-03-13,,BSE:ASIANPAINT-A,12,10,500820,ASIANPAINT,500820,-1.0,XX,1210000000500820,,0,0.0
1210000000540975,Aster DM Healthcare Limited,0,1,0.05,INE914M01019,0915-1530|1815-1915:,2026-03-13,,BSE:ASTERDM-A,12,10,540975,ASTERDM,540975,-1.0,XX,1210000000540975,,0,0.0
1210000000532830,ASTRAL LIMITED,0,1,0.05,INE006I01046,0915-1530|1815-1915:,2026-03-13,,BSE:ASTRAL-A,12,10,532830,ASTRAL,532830,-1.0,XX,1210000000532830,,0,0.0
1210000000532493,ASTRA MICROWAVE PRODUCTS LTD.,0,1,0.05,INE386C01029,0915-1530|1815-1915:,2026-03-13,,BSE:ASTRAMICRO-A,12,10,532493,ASTRAMICRO,532493,-1.0,XX,1210000000532493,,0,0.0
1210000000506820,ASTRAZENECA PHARMA INDIA LTD.,0,1,0.05,INE203A01020,0915-1530|1815-1915:,2026-03-13,,BSE:ASTRAZEN-A,12,10,506820,ASTRAZEN,506820,-1.0,XX,1210000000506820,,0,0.0
1210000000542066,ADANI TOTAL GAS LIMITED,0,1,0.05,INE399L01023,0915-1530|1815-1915:,2026-03-13,,BSE:ATGL-A,12,10,542066,ATGL,542066,-1.0,XX,1210000000542066,,0,0.0
1210000000500027,ATUL LTD.,0,1,0.05,INE100A01010,0915-1530|1815-1915:,2026-03-13,,BSE:ATUL-A,12,10,500027,ATUL,500027,-1.0,XX,1210000000500027,,0,0.0
1210000000540611,AU Small Finance Bank Limited,0,1,0.05,INE949L01017,0915-1530|1815-1915:,2026-03-13,,BSE:AUBANK-A,12,10,540611,AUBANK,540611,-1.0,XX,1210000000540611,,0,0.0
1210000000532668,AURIONPRO SOLUTIONS LTD.,0,1,0.05,INE132H01018,0915-1530|1815-1915:,2026-03-13,,BSE:AURIONPRO-A,12,10,532668,AURIONPRO,532668,-1.0,XX,1210000000532668,,0,0.0
1210000000524804,AUROBINDO PHARMA LTD.,0,1,0.05,INE406A01037,0915-1530|1815-1915:,2026-03-13,,BSE:AUROPHARMA-A,12,10,524804,AUROPHARMA,524804,-1.0,XX,1210000000524804,,0,0.0
1210000000543896,Avalon Technologies Limited,0,1,0.05,INE0LCL01028,0915-1530|1815-1915:,2026-03-13,,BSE:AVALON-A,12,10,543896,AVALON,543896,-1.0,XX,1210000000543896,,0,0.0
1210000000532406,AVANTEL LTD.,0,1,0.05,INE005B01027,0915-1530|1815-1915:,2026-03-13,,BSE:AVANTEL-A,12,10,532406,AVANTEL,532406,-1.0,XX,1210000000532406,,0,0.0
1210000000512573,AVANTI FEEDS LTD.,0,1,0.05,INE871C01038,0915-1530|1815-1915:,2026-03-13,,BSE:AVANTIFEED-A,12,10,512573,AVANTIFEED,512573,-1.0,XX,1210000000512573,,0,0.0
1210000000540205,Aditya Vision Limited,0,1,0.05,INE679V01027,0915-1530|1815-1915:,2026-03-13,,BSE:AVL-A,12,10,540205,AVL,540205,-1.0,XX,1210000000540205,,0,0.0
1210000000544181,Awfis Space Solutions Limited,0,1,0.05,INE108V01019,0915-1530|1815-1915:,2026-03-13,,BSE:AWFIS-A,12,10,544181,AWFIS,544181,-1.0,XX,1210000000544181,,0,0.0
1210000000543458,AWL AGRI BUSINESS LIMITED,0,1,0.05,INE699H01024,0915-1530|1815-1915:,2026-03-13,,BSE:AWL-A,12,10,543458,AWL,543458,-1.0,XX,1210000000543458,,0,0.0
1210000000532215,AXIS BANK LTD.,0,1,0.05,INE238A01034,0915-1530|1815-1915:,2026-03-13,,BSE:AXISBANK-A,12,10,532215,AXISBANK,532215,-1.0,XX,1210000000532215,,0,0.0
1210000000544061,Azad Engineering Limited,0,1,0.05,INE02IJ01035,0915-1530|1815-1915:,2026-03-13,,BSE:AZAD-A,12,10,544061,AZAD,544061,-1.0,XX,1210000000544061,,0,0.0
